apple_pie,300 calories per slice
baklava,428 calories per serving
beet_salad,150 calories per serving
beignets,262 calories per beignet
bibimbap,550 calories per serving
bread_pudding,310 calories per cup
breakfast_burrito,500 calories per burrito
bruschetta,100 calories per serving
caesar_salad,500 calories per salad
cannoli,233 calories per serving
caprese_salad,250 calories per serving
carrot_cake,500 calories per slice
ceviche,175 calories per cepiche
cheese_plate,662 calories per serving
cheesecake,400 calories per slice
chocolate_cake,424 calories per slice
chocolate_mousse,300 calories per cup
churros,200 calories per churro
club_sandwich,700 calories per sandwich
creme_brulee,300 calories per cup
croque_madame,600 calories per serving
cup_cakes,250 calories per cupcake
deviled_eggs,75 calories per deviled egg
donuts,250 calories per donut
dumplings,150 calories per dumpling
edamame,200 calories per edamame
eggs_benedict,500 calories per eggs benedict
escargots,316 calories per cup
falafel,100 calories per ball
filet_mignon,50 calories per ounce
fish_and_chips,900 calories per portion
foie_gras,130 calories per ounce
french_fries,250 calories per serving
french_onion_soup,500 calories per bowl
french_toast,250 calories per serving
fried_calamari,300 calories per serving
fried_rice,400 calories per serving
frozen_yogurt,300 calories per cup
garlic_bread,200 calories per slice
gnocchi,254 calories per gnocchi
greek_salad,150 calories per cup
guacamole,460 calories per cup
gyoza,40 calories per piece
hamburger,300 calories per hamburger
hot_and_sour_soup,90 calories per cup
hot_dog,150 calories per hot dog
huevos_rancheros,350 calories per serving
hummus,35 calories per tablespoon
ice_cream,400 calories per cup
lasagna,400 calories per serving
macaroni_and_cheese,310 calories per cup
macarons,70 calories per macaron
miso_soup,40 calories per cup
mussels,30 calories per mussel
nachos,350 calories per serving
omelette,200 calories per omelette
onion_rings,125 calories per ring
oysters,10 calories per oyster
pad_thai,300 calories per cup
paella,406 calories per serving
pancakes,90 calories per pancake
panna_cotta,450 calories per serving
peking_duck,400 calories per serving
pho,500 calories per bowl
pizza,300 calories per slice
poutine,700 calories per serving
pulled_pork_sandwich,600 calories per sandwich
ramen,450 calories per bowl
ravioli,40 calories per piece
red_velvet_cake,400 calories per slice
risotto,300 calories per cup
samosa,180 calories per samosa
sashimi,40 calories per ounce
seaweed_salad,100 calories per cup
spaghetti_bolognese,350 calories per serving
spaghetti_carbonara,400 calories per serving
spring_rolls,100 calories per roll
strawberry_shortcake,250 calories per slice
sushi,50 calories per piece
tacos,180 calories per taco
takoyaki,70 calories per piece
tiramisu,480 calories per slice
tuna_tartare,35 calories per ounce
waffles,120 calories per waffle
